evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
10000.0,10000.0,76.47,49.501600324975335,50.40050590219226
20000.0,20000.0,79.9,57.708185533348455,58.033197619793306
30000.0,30000.0,81.73333333333333,61.755595166895446,62.1468536298957
40000.0,40000.0,82.9875,64.50259052843568,64.83385871531188
50000.0,50000.0,83.91,66.46336610518468,66.69840218561139
60000.0,60000.0,84.66833333333334,68.14122342135069,68.2957091159745
70000.0,70000.0,85.28714285714287,69.48725252129391,69.67225183309286
80000.0,80000.0,85.8425,70.66399273855856,70.8460964246184
90000.0,90000.0,86.28555555555556,71.60775488751285,71.74545038342681
100000.0,100000.0,86.619,72.3311501937432,72.43531641397495
# COMPLETED
